DateOfStop	TimeOfStop	Violation	Location	Latitude	Longitude	Accident	Year	Make	Model
11/27/2025	5:36:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 70	108/ BRINK RD	39.21142567	-77.14250383	No	2008	HONDA	ACCORD
11/27/2025	5:28:00	WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT	MIDDLEBROOK RD @ INTERSTATE 270	39.18912333	-77.26241833	No	2018	TOYOTA	CAMRY
11/27/2025	5:18:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	UNIVERSITY BLVD W / SLIGO CREEK PKWY	39.10447367	-77.20726517	Yes	2009	CHEVROLET	TRAVERSE
11/27/2025	3:46:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	R355/EDMONSTON DR	39.06843483	-77.12929183	No	2016	JEEP	UT
11/27/2025	3:09:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	1901 RANDOLPH RD	39.058855	-77.04987833	Yes	2019	HONDA	CIVIC
11/27/2025	3:08:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	11160 VEIRS MILL RD	39.05850083	-77.048058	No	2016	DODGE	CHALL
11/27/2025	2:44:00	WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT	JONES BRIDGE RD @ UNIVERSITY RD	38.991537	-77.09743483	Yes	2022	TOYOTA	COROLLA
11/27/2025	2:44:00	FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION	JONES BRIDGE RD @ UNIVERSITY RD	38.991537	-77.09743483	Yes	2022	TOYOTA	COROLLA
11/27/2025	0:02:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	ROCKVILLE PIKE AT TUCKERMAN LN	0	0	No	2022	HOND	CR-V
11/26/2025	23:51:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	GEORGIA AVE @ RANDOLPH RD	39.06792667	-77.06090167	No	2024	MAZDA	CX50
