Brand,Model,Year,Status,Mileage,Dealer,Price
Mazda,CX-5,2023,New,,,36703.0
Kia,Sportage,2023,New,,Classic Kia,28990.0
Chevrolet,Camaro,2024,New,,Classic Chevrolet Beaumont,41425.0
Ford,Bronco,2023,Used,1551.0,Mike Smith Chrysler Dodge Jeep RAM,58900.0
Acura,TLX,2021,Used,30384.0,Mike Smith Nissan,34499.0
Volkswagen,Golf,2022,Certified,13895.0,Volkswagen of Beaumont,34000.0
GMC,Yukon,2021,Used,68506.0,BMW of Beaumont,56954.0
BMW,M340,2023,New,,BMW of Beaumont,61715.0
Hyundai,Sonata,2023,New,,Hyundai of Silsbee,37945.0
Hyundai,Sonata,2023,New,,Hyundai of Silsbee,33495.0
Jeep,Grand Cherokee,2023,New,,Granger Chrysler Dodge Jeep Ram,63627.0
Jeep,Wagoneer,2023,New,,Granger Chrysler Dodge Jeep Ram,67998.0
Dodge,Durango,2023,New,,Granger Chrysler Dodge Jeep Ram,48998.0
Ford,Mustang,2024,New,,Town & Country Ford,52105.0
Ford,F-350,2023,New,,Town & Country Ford,76816.0
Cadillac,XT5,2024,New,,Navarre Chevrolet Cadillac,
Infiniti,QX30,2019,Used,29009.0,Volkswagen of Lake Charles,23589.0
Honda,Passport,2023,New,,Community Honda,47935.0
GMC,Yukon,2023,New,,Big Star Buick GMC,71125.0
Lexus,ES,2021,Used,22251.0,Big Star Buick GMC,39895.0
GMC,Sierra,2022,Certified,7142.0,Big Star Buick GMC,45995.0
Mazda,CX-30,2023,New,,,30890.0
GMC,Yukon,2023,New,,Big Star Buick GMC,77345.0
GMC,Yukon,2023,New,,Big Star Buick GMC,99605.0
GMC,Yukon,2023,New,,Big Star Buick GMC,89925.0
GMC,Yukon,2023,New,,Big Star Buick GMC,100205.0
GMC,Yukon,2023,New,,Big Star Buick GMC,75600.0
Toyota,Tundra,2019,Used,33196.0,Big Star Buick GMC,36990.0
Cadillac,CT5,2023,New,,Ron Craft Cadillac,53805.0
Buick,Envista,2024,New,,Martin Chevrolet Buick GMC,31655.0
Mazda,CX-5,2017,Used,97892.0,Bacliff Auto,16995.0
Honda,Civic,2023,New,,Sterling McCall Honda,25845.0
Honda,Accord,2017,Used,95294.0,Sterling McCall Honda,16141.0
Ford,Maverick,2022,New,,Planet Ford 59,
Ford,Maverick,2022,New,,Planet Ford 59,
Volkswagen,Atlas,2021,Used,32298.0,Tejas Toyota,33127.0
Toyota,4Runner,2023,New,,Tejas Toyota,49521.0
Toyota,4Runner,2023,New,,Tejas Toyota,50342.0
Jeep,Wagoneer,2023,New,,Texan Dodge Chrysler Jeep Ram,82365.0
GMC,Yukon,2023,New,,Texan GMC Buick,63280.0
GMC,Yukon,2023,New,,Texan GMC Buick,71530.0
GMC,Yukon,2023,New,,Texan GMC Buick,70490.0
Mazda,Mazda3,2024,New,,,32110.0
GMC,Yukon,2023,New,,Texan GMC Buick,91765.0
GMC,Yukon,2023,New,,Texan GMC Buick,78335.0
GMC,Yukon,2023,New,,Texan GMC Buick,83500.0
Toyota,Sequoia,2012,Used,114355.0,Mac Haik Ford Pasadena,22288.0
Lincoln,Continental,2020,Used,39500.0,Mac Haik Ford Pasadena,28788.0
Mercury,Marquis,2008,Used,50564.0,Fall Creek Motor Cars,13500.0
Lexus,IS,2023,Used,1199.0,Sterling McCall Lexus Clear Lake,60995.0
Lexus,LX,2023,New,,Sterling McCall Lexus Clear Lake,133745.0
Lexus,RZ 450e,2023,New,,Sterling McCall Lexus Clear Lake,61260.0
Ford,Mustang,2017,Used,30464.0,Big Star Cadillac,30911.0
Cadillac,CT5,2024,New,,Big Star Cadillac,
Cadillac,Escalade,2023,New,,Big Star Cadillac,86485.0
Lexus,LS,2013,Used,96397.0,Big Star Cadillac,21911.0
Lincoln,Nautilus,2019,Used,49197.0,Big Star Cadillac,23911.0
Ford,Mustang,2022,Used,8373.0,Big Star Cadillac,50911.0
Ford,Mustang,2015,Used,87885.0,Big Star Cadillac,21911.0
Cadillac,CT5,2022,Certified,14441.0,Big Star Cadillac,94911.0
